Title,Subscriber Count,View Count,Engagement
MM7Games,4390000,2127981587,484.733846697039
LMG Clips,194000,23992665,123.673530927835
The Game Theorists,13100000,2556805658,195.176004427481
Skip and Shannon: UNDISPUTED,1770000,1247714882,704.923662146893
Yes Theory,5810000,651263219,112.093497246127
RealLifeLore,3800000,715711825,188.345217105263
Redline Reviews,786000,292253040,371.82320610687
Fredo Bang,526000,197966001,376.361218631179
AntsCanada,3740000,408878024,109.32567486631
Scott The Woz,1110000,280564791,252.761072972973
AlondraDessy,1020000,48855080,47.897137254902
Technology Connections,877000,79974304,91.1907685290764
EverythingApplePro EAP,8290000,2054347071,247.810261881785
Bri & Fern,221000,15730528,71.1788597285068
verbalase,3160000,474476223,150.150703481013
ZackTTG,969000,76284249,78.7247151702786
Swift quis,375000,11061287,29.4967653333333
MrBeast Shorts,884000,17447408,19.7368868778281
britneyandbaby,448000,115849137,258.591823660714
Manchester United,3250000,517036928,159.088285538462
PontiacMadeDDG VLOGS,2200000,327299627,148.772557727273
SAM THE COOKING GUY,2200000,255147973,115.976351363636
Sid Meier's Civilization,227000,75359674,331.980942731278
Paris Hilton,748000,102529804,137.071930481283
TMJ4 News,136000,135965256,999.744529411765
Liverpool FC,5040000,881823789,174.9650375
Tucker Budzyn,2380000,398340790,167.370079831933
JYP Entertainment,18100000,10222155257,564.759958950276
Yoatzi,645000,50287594,77.9652620155039
FORMULA 1,4310000,2133687782,495.055169837587
Moriah Elizabeth,5500000,1454074123,264.377113272727
Zebra Corner,1010000,147925802,146.46119009901
Paul's Hardware,1290000,192283901,149.057287596899
Ryan Reynolds,2130000,285185184,133.889757746479
The Apple Circle,16000,1813941,113.3713125
Rosanna Pansino,12500000,3222312865,257.7850292
ChristianNodalVEVO,1680000,3094022621,1841.68013154762
NBC Sports,1300000,661210313,508.623317692308
REVOLT TV,868000,204207454,235.262043778802
Max Tech,382000,86788842,227.195921465969
Berd,1510000,261069666,172.893818543046
sdbl,18100,13643334,753.775359116022
HollywoodLife,3130000,1743703793,557.093863578275
Donut Media,4110000,865327363,210.541937469586
Northwest Sawyer,32200,11861389,368.366118012422
Kennedy Walsh,1590000,124281327,78.1643566037736
brian david gilbert,494000,37641859,76.1980951417004
AnthonyPadilla,4710000,276011005,58.6010626326964
Brawadis,5010000,1256110250,250.720608782435
Dancing With The Stars,1030000,345326195,335.268150485437
NBA,14900000,7348600144,493.194640536913
my mechanics,1760000,179918089,102.226186931818
CaseyNeistat,12200000,2875052172,235.660014098361
Screen Junkies,6740000,2536087072,376.274046290801
BTS Universe Story,398000,3987256,10.0182311557789
Through Our Eyes,2470000,190409172,77.0887336032389
Foo Fighters,2700000,281760381,104.355696666667
Biannca Prince,1370000,52943292,38.6447386861314
J. Kenji López-Alt,661000,71951451,108.852422087746
BSOLZ,164000,31181068,190.128463414634
James Bond 007,319000,170913859,535.780122257053
LaurDIY,8890000,1282715075,144.287410011249
PlayStation,12000000,3080061251,256.671770916667
Jake Paul,20200000,6809344631,337.096268861386
Law Offices of Phillips & Hunt,16100,17502135,1087.08913043478
Julie and the Phantoms Videos,38500,4050537,105.208753246753
Ben Azelart,4680000,608282335,129.974857905983
Derek Gerard,2050000,358620857,174.937003414634
Mike Boyd,2540000,274454929,108.053121653543
NFL,6750000,4524578953,670.307993037037
LaToya Forever,1450000,136412462,94.07756
Bleacher Report,1960000,844887074,431.064833673469
Cool Worlds,219000,14884343,67.9650365296804
Yung Mustard,49800,10893605,218.747088353414
German Football,215000,27863886,129.599469767442
LightSkinKeisha,193000,46954420,243.287150259067
Fuse,978000,301381538,308.161081799591
Binging with Babish,7820000,1534217299,196.191470460358
ChrisMD,5040000,1096418580,217.543369047619
Young Don The Sauce God,1940000,175662741,90.5478046391753
Dhar Mann,2690000,775245942,288.195517472119
FRONT PAGE TECH,291000,26541054,91.2063711340206
Chelsea Football Club,2160000,380114338,175.978860185185
NellyVidz,932000,206053420,221.087360515021
US Open Tennis Championships,318000,209678662,659.36686163522
NHL,1490000,949945245,637.547144295302
EA Star Wars,868000,289876882,333.959541474654
The Herd with Colin Cowherd,892000,599834178,672.459840807175
MileyCyrusVEVO,10300000,4096184126,397.687779223301
NoCap,457000,239973325,525.105743982495
Legend Of Winning,226000,40581461,179.563986725664
CL Official Channel,1400000,24924975,17.8035535714286
FC Barcelona,10200000,1392139331,136.484248137255
Liam Payne Official,3200000,10815994,3.379998125
Tom Scott,3090000,674297898,218.219384466019
ASTRO 아스트로,2710000,242918196,89.637710701107
beIN SPORTS USA,343000,77339782,225.480413994169
FaZe Jarvis,3710000,589695031,158.947447708895
DrewFilmedIt,124000,22335454,180.124629032258
AfinArte Music,2130000,1412299867,663.051580751174
Cosmopolitan,1180000,408801657,346.44208220339
XXL,3640000,908958188,249.713787912088
How Ridiculous,6030000,979737546,162.477204975124
ESPN,7290000,6273686541,860.588002880658
Brianna,4340000,861768331,198.56413156682
LilBabyVEVO,172000,1916036155,11139.7450872093
iJustine,6600000,1204000875,182.424375
This Old Tony,879000,135812276,154.507708759954
The Fast Lane Car,947000,448188324,473.271725448786
Lexi Hensler,1750000,135101399,77.2007994285714
Triller,56200,2600974,46.2806761565836
ChrisShwafer,21100,3346149,158.585260663507
Daddy Yankee,31100000,11411955574,366.943909131833
Unbox Therapy,17100000,3777245876,220.891571695906
D'Angelo Wallace,808000,33823549,41.860827970297
STARZ,510000,368147517,721.857876470588
2ChainzVEVO,1910000,1409343796,737.876332984293
Speak For Yourself,278000,174693331,628.393276978417
Governor Andrew M. Cuomo,52400,11537166,220.174923664122
Jackie Aina,3540000,347118819,98.056163559322
Good Mythical MORE,3940000,947151739,240.393842385787
Dingo Doodles,634000,38250678,60.3322996845426
CBS Sunday Morning,760000,455303166,599.083113157895
The Drew Barrymore Show,52900,3165915,59.8471644612476
Brave Wilderness,17500000,3612163290,206.409330857143
Trippie Redd,2550000,108183879,42.4250505882353
Rick Beato,1810000,210968039,116.556927624309
Big 12 Conference,49000,27696036,565.225224489796
LockPickingLawyer,2100000,390980221,186.181057619048
李子柒 Liziqi,12400000,1803127548,145.413511935484
HALO,532000,85378203,160.485343984962
The Everyday Dad,195000,32883862,168.63518974359
Verge Science,1010000,82495112,81.6783287128713
YoungBoy Never Broke Again - Topic,24800,767798375,30959.6118951613
BuzzFeedVideo,20200000,16942780273,838.751498663366
Nate and Karissa,1220000,153182902,125.559755737705
YoungBoy Never Broke Again,8320000,5701567157,685.2845140625
Inquietos del Norte,1530000,817795750,534.507026143791
SSSniperWolf,22100000,7970399742,360.651572036199
LaToya Forever,1450000,136412462,94.07756
REVOLT TV,868000,204207454,235.262043778802
brian david gilbert,494000,37641859,76.1980951417004
NoCap,457000,239973325,525.105743982495
JYP Entertainment,18100000,10222155257,564.759958950276
Bleacher Report,1960000,844887074,431.064833673469
Governor Andrew M. Cuomo,52400,11537166,220.174923664122
Dancing With The Stars,1030000,345326195,335.268150485437
Inquietos del Norte,1530000,817795750,534.507026143791
Through Our Eyes,2470000,190409172,77.0887336032389
Big 12 Conference,49000,27696036,565.225224489796
ZackTTG,969000,76284249,78.7247151702786
CaseyNeistat,12200000,2875052172,235.660014098361
Brawadis,5010000,1256110250,250.720608782435
Rick Beato,1810000,210968039,116.556927624309
Fuse,978000,301381538,308.161081799591
DrewFilmedIt,124000,22335454,180.124629032258
LilBabyVEVO,172000,1916036155,11139.7450872093
