channel_id,title,sub_count,video_count,view_count,engagement,country,exported_already,date_of_export,embed_url
UCStpPtoeQUYII1Jsbl0qf8A,華納音樂 Warner Music Taiwan,1520000,1586,972965912,640.1091526315789,TW,False,,
UC4AOIba1H86FULnZ8YSyqyA,Clevver Music,688000,5161,507976378,738.3377587209302,,False,,
UCnQpW-puF4ISXVeytvf6NXA,Red Bull Music,625000,1074,121304307,194.0868912,US,False,,
UCZtDUmC3W7j25XHZWFT_XgQ,BBC Music,1960000,4197,1024004925,522.4514923469387,GB,False,,
UChvdpkJqIaVo7kbKPtmKXhA,NAGASWARA Official Video | Indonesian Music Channel,6950000,1524,3119332605,448.82483525179856,ID,False,,
UCjzHeG1KWoonmf9d5KBvSiw,Soothing Relaxation,5660000,414,1710735135,302.25002385159013,NO,False,,
UC23xW9iC-ADQBLABJ9uIZww,Future Music Magazine,424000,952,55078873,129.90300235849057,,False,,
UCcVkWrg_Q00xVigRquzSY4g,Universal Music France,1630000,1843,1468243914,900.7631374233129,FR,False,,
UCmnlTWVJysjWPFiZhQ5uudg,Marty Music,2370000,1415,356935944,150.6058835443038,US,False,,
UC9aAeejaVOTL0nykywAXbUw,Cobalt Music,855000,2098,1534979111,1795.2972058479531,GR,False,,
UC6hBefyLMtG7FXhZ55da3Vw,Artzie Music,396000,1350,205182594,518.1378636363636,US,False,,
UCtCiO5t2voB14CmZKTkIzPQ,딩고 뮤직 / dingo music,2600000,1389,888709264,341.8112553846154,KR,False,,
UCjeD2I8jwXg2l_nvXb_6Hzw,YRF Music,0,43,208285881,0.0,IN,False,,
UCz2SUbUr2k0T3nEmutgsPjg,Hear This Music,12800000,33,6823828368,533.11159125,PR,False,,
UCzTR9iSH-TFC4-ocDS_ll4A,Sheet Music Boss,1920000,1413,677944494,353.096090625,AU,False,,
UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,15800000,3934,5193564558,328.7066175949367,IN,False,,
UCopY0NAzASqmD6eVaRj2TFQ,White Hill Music,15700000,4161,6027932072,383.94471796178345,IN,False,,
UCIWNozFjO8yVdJFsGKVmPgg,Point Blank Music School,410000,1250,41569286,101.38850243902439,,False,,
UCX4sShAQf01LYjYQhG2ZgKg,Silk Music,206000,1632,51870433,251.79821844660194,US,False,,
UCsIg9WMfxjZZvwROleiVsQg,STEEZYASFUCK,894000,377,86444875,96.69449105145414,US,False,,
UCY7uhiFCrKd_hhXfVrtPWTg,Km Music,2350000,210,1643180253,699.2256395744681,GR,False,,
UChrjz9yiHO-GlQ2QFSsNx2w,JulianspromosTV | Soca Music,988000,9024,1191794457,1206.269693319838,US,False,,
UCWqyzn3cDkRDh3kRGWrIQwA,Mango Music,4780000,8700,2425489692,507.4246217573222,IN,False,,
UC2IJbt-vtn0E2Yn8O_iWmbQ,O'Keefe Music Foundation,274000,260,77945744,284.4735182481752,,False,,
UCUMDbr2t0uxjYlDFchHkdjg,Exact Music,801000,275,325639205,406.5408302122347,TH,False,,
UCIvxmYZSfLNbtA4OPMHqKBw,Costantino Carrara Music,762000,139,144127115,189.14319553805774,IT,False,,
UC7tiuptCKrRGZNDQJ53Q11w,Warner Music Spain,2000000,1518,1888432493,944.2162465,ES,False,,
UCGkQCAeRjyP9BpNwVFMaJaw,WaterTower Music,642000,1735,707814415,1102.5146651090342,US,False,,
UCqPYhcdFgrlUXiGmPRAej1w,Jason Stephenson - Sleep Meditation Music,1950000,741,464575855,238.24402820512822,AU,False,,
UC8B2ycLfajO3h0_ked1qcXQ,BEC-TERO MUSIC,2050000,1261,1643387092,801.65224,TH,False,,
UCYy9EGb3fvmUSgMVfJ7KXJw,Nu Meditation Music,1940000,375,394362581,203.27968092783505,PT,False,,
UCI5tGbwiVHy4BsZUXcSWvwQ,Chicago Music Exchange,299000,1459,105203423,351.8509130434783,,False,,
UCMwePVHRpDdfeUcwtDZu2Dw,Monstafluff Music,480000,1073,124354680,259.07225,US,False,,
UC2BDs0pu-C1A4POY0g9rZxw,Relax My Dog - Relaxing Music for Dogs,594000,1218,156341408,263.20102356902356,GB,False,,
UCzMxEa-lDX2AfgotszScOFg,Epidemic Pop,655000,2444,162372903,247.89756183206106,SE,False,,
UCmYTgpKxd-QOJCPDrmaXuqQ,ThePrimeThanatos,359000,532,82226097,229.04205292479108,,False,,
UCz24srq31kr8CyNT-oN1Dqw,Shine Music,786000,211,147508892,187.67034605597965,DE,False,,
UCqh8RdUfSR9lGyasBhM_bjA,Better Noise Music,1290000,877,1057977487,820.1375868217054,US,False,,
UCbbmbkmZAqYFCXaYjDoDSIQ,Epic Heaven Music,448000,726,259011373,578.1503861607143,,False,,
UCCwXWdQplS9iGCr1ivXHcJg,Music Vault,201000,1592,77886171,387.4933880597015,,False,,
UCrC_ZFYISEAUuCu00y52Evg,Royal Music,1800000,753,780779422,433.7663455555556,US,False,,
UCNTakNQwoAqVtPSORzswT_A,Harry Kindergarten Music,238000,206,176302424,740.766487394958,,False,,
UCWzZ5TIGoZ6o-KtbGCyhnhg,College Music,1180000,927,160347802,135.88796779661016,GB,False,,
UCshiNtfJ7Dj3nlh41a6M-kg,Music is Win,1130000,1081,272669510,241.30045132743362,US,False,,
UC8yPhlmo-4MY5ZfF-cw3JRg,Rock Music,853000,7687,455464414,533.9559366940211,KR,False,,
UCI2HI_aQ_S3v4vfDQgNtK1g,UPROXX Music,663000,67,53457393,80.6295520361991,US,False,,
UCo07fumrTn1w4AxcU4j_uDw,Times Music,6880000,1778,2224520366,323.33144854651164,,False,,
UCBzRNetz7eOSqcAdNXhPZPA,Pehchan Music,5380000,248,795846531,147.92686449814127,IN,False,,
UCjvZB8bh7MtsVFS7m-pEzuw,Sony Music Entertainment Indonesia,1260000,964,1097582634,871.0973285714285,ID,False,,
UCVcQH8A634mauPrGbWs7QlQ,Jack Hartmann Kids Music Channel,1470000,1088,643511779,437.7631149659864,US,False,,
