channel_id,title,sub_count,video_count,view_count,engagement,country,exported_already,date_of_export,embed_url
UCYuwIJpesKZiU6qxayMq0Lg,Samsung Centroamérica y Caribe,124000,496,156789999,1264.4354758064517,PA,False,,
UCoibYtCS57ABfbOzrOEXIOQ,Samsung Česko a Slovensko,19400,696,79740800,4110.350515463918,,False,,
UCMVrFdXvbLLPziDG2EClOBQ,Samsung Philippines,179000,432,215104399,1201.7005530726258,PH,False,,
UCV9zr32bt92KJhrI18Iy46g,SmartThings,18300,178,1594048,87.10644808743169,US,False,,
UCI6U-DdjBWSbphJEgA8cn8A,Samsung Österreich,17100,443,30749515,1798.2172514619883,AT,False,,
UCHIKWrhweDqw7_eiit8frJw,Samsung Electronics,116000,74,197972167,1706.6566120689656,KR,False,,
UCJoQmWBSgl99UlWEz4yT3rQ,Samsung Business USA,24000,580,12426145,517.7560416666666,US,False,,
UCDrp-8VUYPbsVVxdqxNOHhw,Samsung New Zealand,22900,262,12910811,563.7908733624454,NZ,False,,
UCPh7YEYv4pRp_FBOkJ1pTzA,Samsung Suomi,5430,213,911227,167.8134438305709,,False,,
UCPA6aibrPJQI4Nl1FAKW0Jg,Samsung Maroc,222000,115,114906065,517.5948873873874,,False,,
UCvI_B4l0n_So11Le_pThTqw,Samsung Sverige,12000,165,1331136,110.928,SE,False,,
UCjbDetzwA_Z5l50DypYg47w,Samsung Belgium,9250,302,7631050,824.9783783783784,BE,False,,
UC_16G9zOVoZCd37JIiK3BeQ,Samsung Israel,72700,501,123530852,1699.1864099037139,IL,False,,
UCa_LUmWE8xBmmCYHIkWs9PA,Samsung Magyarország,33900,320,31423034,926.9331563421829,,False,,
UCjg8NBBRQ3BtZ1aEDR0AmiA,Samsung Kazakhstan,131000,363,95092526,725.897145038168,KZ,False,,
UC5lBnVx2O3DQnZavygQPEwA,Samsung Azerbaijan,2150,225,8366800,3891.5348837209303,AZ,False,,
UCAmRQatJnU_BXcEJErbXT6g,Samsung Support USA,10200,844,5308730,520.4637254901961,,False,,
UCkDAwuCKUcY1qn-hgNv0kLw,Samsung Developers,26400,386,2172537,82.29306818181819,US,False,,
UCj-5AgrKgJmQUS8PTb2yRoA,Samsung Srbija,4770,420,31719738,6649.840251572327,RS,False,,
UCRUB4Mz38TA5DCk27nJP7TQ,Samsung Greece,11400,331,72125323,6326.782719298246,,False,,
UCkIWDthiW4jNW8QOK9i7vgA,Samsung & You,10200,267,3262973,319.8993137254902,NL,False,,
UCrdQCSm2G-7ZQpjRm1SDx_w,Samsung Nigeria,10200,134,7425449,727.9851960784314,,False,,
UC1duncIk7b8WFmpJ-akCY5A,"Europa 3G | Reparar iPhone, iPad, Mac, Xioami, Bq, Huawei, Samsung Barcelona REPARAR URGENTE LOW COST",10800,448,5209315,482.3439814814815,ES,False,,
UC0ziYPUq3Ud60wfomcB6r3Q,Samsung Danmark,3790,318,8245296,2175.539841688654,,False,,
UCAH9A9tax2o7N_7BwJiz_3Q,Samsung Product Support Network,13100,1212,9271326,707.7348091603053,CA,False,,
UCVaIGU8ch9zG42j-rAG6VoA,삼성SDS,6990,275,1211423,173.3080114449213,KR,False,,
UCfTkkSdJO673fwBnxBqyHsQ,Samsung East Africa,6510,181,9771089,1500.9353302611366,,False,,
UCj6n9wBH-xl2lC66ohVlK7A,Samsung Display,49600,71,4983768,100.4791935483871,,False,,
UCeXayKzDFcPaGunm1Vwto6w,IT ШКОЛА SAMSUNG,10100,53,456011,45.14960396039604,RU,False,,
UCS90jjZ1veuffBSV-lv2Ccg,[YOUNG SAMSUNG]영삼성,3060,330,3490486,1140.6816993464051,KR,False,,
UC27nz0bk9Alm-P20X9BLKVQ,Samsung U.S. Newsroom,2870,215,666401,232.19547038327525,US,False,,
UC81_568oEU2QS04qVj6kLbA,Samsung Norge,3530,181,4712382,1334.9524079320113,,False,,
UCq7h8qFlHN5FL_T6waKZllw,Samsung POP,53900,230,47293198,877.4248237476809,,False,,
UCLtCAYMG_x52ysStVXupb6g,Samsung Hrvatska,3890,393,20736625,5330.751928020565,HR,False,,
UCk7WiZN-L-TftBqN1I9chYw,Samsung Latvia,3300,78,13235582,4010.7824242424244,LV,False,,
UCjDcJHP2WtViIBFlHIk7gyg,Samsung Galaxy S9,0,760,4272589,0.0,,False,,
UC8k3-QYD54_fmi1PsorKG8Q,Samsung Kurd,34900,308,1717925,49.22421203438395,IQ,False,,
UCIaSvGVNgzTl7OmXxyCH6WA,Samsung/AppleUser,239,89,274417,1148.1882845188284,,False,,
UCHtzUQUZVu5OO-NNGlF4Ujw,Samsung Lithuania,3090,66,16566697,5361.390614886732,LT,False,,
UCvrHBZj0Pk-bnfLyJ0O1tHQ,Samsung Xin chao,8900,519,2107462,236.79348314606742,VN,False,,
UCfqHMDdt_kqSmu4PW-NTnNg,Samsung Bulgaria,4870,309,17294782,3551.289938398357,,False,,
UCVNsucZZvwJLXc36MlZ32oQ,SAMSUNG VSP GROUP,761,10,27587,36.250985545335084,US,False,,
UCV-Vvs6GZR0ESqDHUQJwl9A,Samsung Galaxy Pocket Plus,1720,11,349807,203.37616279069766,MX,False,,
UCqum14xR8UVF58MtBAKnHoA,Samsung Core 2 Latino,1880,13,254089,135.15372340425532,AR,False,,
UCguDEGaUJ-lzVPpxtLJTW5g,Samsung Sports,5200,239,3005470,577.975,,False,,
UCKaXld3ysN1jBW3f7m-8ubQ,ESE SAMSUNG,6960,202,2820499,405.2441091954023,AL,False,,
UCoBP0GkJ3jFpSejSnuRgl9Q,Samsung Developer Connection,2380,55,45675,19.191176470588236,US,False,,
UCtORMiqZpygwriZ7T8w2kiQ,Samsung Estonia,1730,58,5311000,3069.942196531792,EE,False,,
UCWLHbA1Jj8k8KwvoGnaedVw,Samsung Ghana,6730,124,6710993,997.175780089153,GH,False,,
UC9D2cjw1YqHsp_iWVZbUd4Q,Samsung Professionnels,1330,239,667387,501.79473684210524,FR,False,,
