channel_id,title,sub_count,video_count,view_count,engagement,country,exported_already,date_of_export,embed_url
UCqSeA-rZs6GOfZrs9jZRXtA,Powerbang Gaming,1590000,1660,249920346,157.18260754716982,US,False,,
UCY-_QmcW09PHAImgVnKxU2g,SQUEEZIE GAMING,3350000,264,778941324,232.51979820895522,FR,False,,
UCcIsKGoHdHQPXNwrJlb7PVg,Legends Of Gaming,838000,460,109883719,131.12615632458233,GB,False,,
UCWhENCwRbKUbmthFjGzgBVQ,Yhe_OldWyvernOne Gaming,3690,4306,5282396,1431.5436314363144,US,False,,
UCgaPRP68bbyHnfkPhWWBrNw,PC Gamer,239000,2219,86787625,363.1281380753138,,False,,
UCJ_jVt4hluDZzhu8WRkVxMw,Gaming Wildlife,210000,264,43628626,207.7553619047619,US,False,,
UCJLFizUO3gCQnyiYKMYvUgg,Get Good Gaming,1730000,665,507004562,293.06622080924853,US,False,,
UCvPs3pT83N6EmNLlLrbwwMQ,Deltia's Gaming,115000,668,36078041,313.7220956521739,US,False,,
UClOGLGPOqlAiLmOvXW5lKbw,MandaloreGaming,449000,71,63974052,142.48118485523386,US,False,,
UCqNH56x9g4QYVpzmWTzqVYg,Dynamo Gaming,8750000,1353,718739279,82.14163188571429,IN,False,,
UC2lJPgRa6PeDNLUqlCCmDAQ,MathChief - The Best of Gaming!,634000,353,53074106,83.71310094637224,CA,False,,
UCAuI-Z03JwnDsVAwB5G2tfw,Overwatch Moments - Gaming Curios,656000,1673,304494320,464.16817073170733,US,False,,
UCodK-9eXEm_hWSDDfLr4QzA,Pretty Good Gaming,295000,1278,94782190,321.2955593220339,GB,False,,
UCex2B-k-ZIJhcjRdlYUz4MQ,BSoD Gaming,166000,651,35989533,216.8044156626506,MT,False,,
UCC6ulNJ-KDoIa3VI2gcvQpA,Camodo Gaming,1700000,3377,903532851,531.4899123529411,US,False,,
UCobP8-RBCEPh4Bzsm02BNFQ,Dalaran Gaming,126000,5382,70446745,559.1011507936508,US,False,,
UCezxSW8kVueIU0pr_rukbYA,MSI Gaming,260000,542,121302319,466.54738076923076,TW,False,,
UCyg_c5uZ7rcgSPN85mQFMfg,FamilyGamerTV,540000,2051,403377643,746.9956351851852,GB,False,,
UC5S0zPiz9-zZJ6WTV3YfE9w,Dave Gaming,139000,4822,56523172,406.6415251798561,DE,False,,
UCnSuI6Qe57RSyIXn2Q-2Emg,Serious Gaming,30500,7136,20061089,657.7406229508197,US,False,,
UClxGlpO6TzyJcW7gPCJe94g,GLOCO,1000000,1712,126413256,126.413256,PH,False,,
UCFItIX8SIs4zqhJCHpbeV1A,Censored Gaming,260000,699,69686559,268.0252269230769,GB,False,,
UCpvtp7mH0Cdq8FQUxcjDq0Q,My Life in Gaming,179000,179,19001775,106.15516759776537,US,False,,
UC97XthQ7oIOfAWIGPoyFDYQ,Legends of Gaming NL,502000,390,127766148,254.5142390438247,NL,False,,
UC2lU0xK5HgeNwzFaWKuBt8A,Raynday Gaming,342000,1041,62745403,183.46609064327487,US,False,,
UCDGbmCxt2CEZAsDh1CiWXsQ,False Swipe Gaming,311000,215,118187893,380.0253794212219,US,False,,
UCwpmyAEOxIFmiXHFk4XbLMA,Laymen Gaming,241000,666,61042638,253.28895435684646,AU,False,,
UC_dkX2_MJZeiYZImFN8AOvg,Most Valuable Gaming,141000,3335,64410286,456.8105390070922,US,False,,
UCmY2tPu6TZMqHHNPj2QPwUQ,Snoman Gaming,234000,219,32135867,137.33276495726497,US,False,,
UCFXc5nAao6554AIXlN9KgwQ,Ceave Gaming,496000,209,131005541,264.1240745967742,AT,False,,
UCjFaPUcJU1vwk193mnW_w1w,Modern Vintage Gamer,495000,285,73470406,148.42506262626262,US,False,,
UChI0q9a-ZcbZh7dAu_-J-hg,Upper Echelon Gamers,419000,686,87262323,208.26330071599045,US,False,,
UCN35DM_vPpMz6zPBxeBRWIA,Klaus Gaming,500000,1790,123370511,246.741022,US,False,,
UCVjCsq6PCd1RxrhkOfuGMsw,T Gaming,1290000,1829,859038350,665.9212015503877,VN,False,,
UCT7njg__VOy3n-SvXemDHvg,Core-A Gaming,354000,92,40176725,113.49357344632769,KR,False,,
UCFbD2k_Rw_kYVTWb9k7t-cg,Kronten Gaming,2000000,1311,232546021,116.2730105,IN,False,,
UCAY3ASUIPF65NztrosXAhHw,House Gamers Airsoft,1160000,413,137214659,118.28849913793104,CA,False,,
UC0bLVZirSA0Kc-gZKU1XBvA,DT Gaming,0,572,18591616,0.0,NL,False,,
UCT_j3a9mJYv601Tp3Bcy-QQ,BunnyFuFuu Gaming,580000,1097,130003270,224.14356896551723,US,False,,
UCmWRcMQyU-mGL1VRo2J3FuQ,Green Ham Gaming,147000,79,20888069,142.0957074829932,AU,False,,
UCm7oVGkl_IWV6bgv9GY6rjw,Strange Rebel Gaming,179000,221,13715695,76.62399441340781,US,False,,
UCAml1Hqu4LW36B3yEtQg8Fw,FUNNY GAMING TV,2030000,809,416151926,205.0009487684729,VN,False,,
UCHJFAuEQJm74w5_aI033sWg,999 Gaming,97200,4256,35582512,366.07522633744856,,False,,
UCXNi96LB5AZcQVHnNGwo96g,Apple Gaming,193000,2128,92629350,479.94481865284973,JP,False,,
UClx4eJ_EP9MJdz19JUjKD1w,Gaming Careers,266000,89,21210422,79.73842857142857,GB,False,,
UCgeSfaLXS8Macm3ddzYF_wg,Gaming History Source,45200,369,20944215,463.3675884955752,US,False,,
UCaA8TUWM6TJ5wj-DH60VEFg,RON GAMING,3860000,848,965065410,250.01694559585493,IN,False,,
UClbllR4Tx-lhYJyrpu1sA4A,Aztecross,440000,1535,151938761,345.31536590909093,US,False,,
UCh1hboZ0Bb6Xpd6XpuAk6qw,ST Gaming,76500,91,6242114,81.5962614379085,RS,False,,
UC6bVyoQ5Lo8duUSXd2QhwXw,Thete Gaming,16100,1444,5424151,336.9037888198758,GB,False,,
UC9oAr-o78Ry5hrnL9WnirSw,The Trending Topic,6590,0,0,0.0,,False,,
UCfJjWmoI3N9N3cWSrNYJfSg,Cinema Trending,231000,73,18566103,80.37274025974025,IN,False,,
UCrkDRApCBqaXPuYgtU3arBg,official trending,14200,1,442,0.031126760563380283,,False,,
